exp_ID,run_ID,latent_dim_sub,latent_dim_sym,learning_rate,dropout,dropout_ENC,dropout_DEC,recon_w,kl_w,query_w,sup_w,flow_w,LAPLACE_recon_val,acc_discr_val,LAPLACE_recon_test,acc_discr_test,acc_gen,epochs,max_epoch,time,tag
1,22-03-2026-22-32-24,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,1.0,2179.7060546875,0.96,2184.18896484375,0.98,0.05263157894736842,50,50,1688.142293214798,ablation
1,22-03-2026-23-03-37,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,1.0,2179.7060546875,0.98,2184.18896484375,0.98,0.05263157894736842,50,50,1841.4997005462646,ablation
1,22-03-2026-23-37-06,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,1.0,2084.58447265625,0.93,2086.390380859375,0.92,0.37526315789473685,50,50,1720.838853597641,ablation
1,23-03-2026-00-08-37,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,1.0,2179.706298828125,1.0,2184.18896484375,0.95,0.05263157894736842,50,50,1676.9815258979797,ablation
1,23-03-2026-00-39-27,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,1.0,2079.528076171875,0.94,2081.4228515625,0.9,0.48473684210526313,50,50,1317.7817203998566,ablation
2,23-03-2026-01-04-09,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,0.0,2082.920166015625,0.95,2084.38916015625,0.92,0.3463157894736842,50,50,1190.1926445960999,ablation
2,23-03-2026-01-26-45,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,0.0,2082.619873046875,0.9,2084.4091796875,0.87,0.4142105263157895,50,50,1369.6966257095337,ablation
2,23-03-2026-01-52-22,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,0.0,2079.469482421875,0.9,2080.902587890625,0.92,0.48473684210526313,50,50,1352.8112692832947,ablation
2,23-03-2026-02-17-02,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,0.0,2179.7060546875,0.93,2184.188720703125,0.93,0.05263157894736842,50,50,1366.173710346222,ablation
2,23-03-2026-02-40-55,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,0.0,2179.7060546875,0.97,2184.18896484375,0.99,0.05263157894736842,50,50,1291.3965423107147,ablation
