exp_ID,run_ID,latent_dim_sub,latent_dim_sym,learning_rate,dropout,dropout_ENC,dropout_DEC,recon_w,kl_w,query_w,sup_w,flow_w,LAPLACE_recon_val,acc_discr_val,LAPLACE_recon_test,acc_discr_test,acc_gen,epochs,max_epoch,time,tag
1,23-03-2026-16-16-55,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,4,2079.86474609375,0.91,2080.9755859375,0.88,0.5494736842105263,50,50,1054.7129027843475,ablation
1,23-03-2026-16-35-37,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,4,2180.291259765625,0.96,2185.142822265625,0.91,0.05263157894736842,50,50,1176.8408815860748,ablation
1,23-03-2026-16-56-12,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,4,2180.29150390625,0.94,2185.14306640625,0.98,0.05263157894736842,50,50,1006.8392195701599,ablation
2,23-03-2026-17-13-54,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1,2088.71923828125,0.9,2089.85595703125,0.88,0.20526315789473684,50,50,1193.9712681770325,ablation
2,23-03-2026-17-35-02,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1,2080.600341796875,0.9,2081.753173828125,0.91,0.5063157894736842,50,50,1390.3138711452484,ablation
3,23-03-2026-19-51-07,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,2,2080.656982421875,0.92,2081.277587890625,0.92,0.48473684210526313,50,50,1980.7760891914368,ablation
3,23-03-2026-20-26-43,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,2,2180.2978515625,0.95,2184.7119140625,0.93,0.05263157894736842,50,50,1076.0198228359222,ablation
3,23-03-2026-20-46-54,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,2,2081.2890625,0.84,2082.048583984375,0.88,0.43894736842105264,50,50,1073.9836902618408,ablation
2,23-03-2026-21-07-04,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1,2180.2978515625,0.95,2184.711669921875,0.96,0.05263157894736842,50,50,1111.7065889835358,ablation
4,23-03-2026-21-27-52,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,3,2180.2978515625,0.98,2184.711669921875,0.92,0.05263157894736842,50,50,1096.7069818973541,ablation
4,23-03-2026-22-32-15,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,3,2084.496826171875,0.92,2086.106201171875,0.93,0.25263157894736843,50,50,1290.7542080879211,ablation
4,23-03-2026-22-56-05,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,3,2084.833251953125,0.95,2086.3896484375,0.94,0.4468421052631579,50,50,1216.0313568115234,ablation
